Stadtteil,Arbeitslose insgesamt,+ACI-Arbeitslose, maennlich+ACI-,+ACI-Arbeitslose, weiblich+ACI-,+ACI-Arbeitslose, deutsch+ACI-,+ACI-Arbeitslose, nichtdeutsch+ACI-
Altstadt,944,547,397,466,478
Schalke,1940,1107,833,1089,851
Schalke+AC0-Nord,416,237,179,221,195
Bismarck,911,480,431,547,364
Bulmke+AC0-H+APw-llen,2172,1199,973,1185,987
Feldmark,609,335,274,426,183
He+AN8-ler,281,154,127,207,74
Buer,1401,770,625,990,411
Scholven,464,247,217,377,87
Hassel,802,414,388,496,306
Horst,1302,673,629,857,445
Beckhausen,616,327,289,464,152
Beckhausen+AC0-Schaffrath,428,248,180,280,148
Erle,1151,604,547,881,270
Resse,442,232,210,348,94
Resser Mark,208,134,74,184,24
Neustadt,409,218,191,200,209
+ANw-ckendorf,1278,758,520,741,537
Rotthausen,996,538,458,588,408
